,precision,recall,f1-score,support
0,0.9839,0.9949,0.9893,980.0
1,0.9852,0.9991,0.9921,1135.0
2,0.9817,0.9884,0.985,1032.0
3,0.995,0.9881,0.9916,1010.0
4,0.9948,0.9827,0.9887,982.0
5,0.9866,0.9888,0.9877,892.0
6,0.9968,0.9823,0.9895,958.0
7,0.9912,0.9835,0.9873,1028.0
8,0.9907,0.9856,0.9882,974.0
9,0.9794,0.9891,0.9842,1009.0
accuracy,0.9884,0.9884,0.9884,0.9884
macro avg,0.9885,0.9882,0.9884,10000.0
weighted avg,0.9885,0.9884,0.9884,10000.0
