Bedrooms,Bathrooms,Floor Area,Land Area,price_per_sqm,total_rooms,floor_land_ratio,distance_to_makati_cbd,distance_to_bgc,distance_to_ortigas,distance_to_quezon_city,distance_to_alabang,distance_to_antipolo,Price
4.0,3.0,350.0,240.0,140000.0,7.0,1.4583333333333333,10.876444398313476,10.268543101574467,6.118468731612175,4.977687700582151,25.034980465001436,5.866988524216125,49000000.0
3.0,2.0,183.0,54.67,134371.58469945355,5.0,3.347356868483629,6.082612863074462,6.560964977411414,3.8479326434780003,7.564365884011803,21.203766376113087,9.993584478455572,24590000.0
4.0,3.0,280.0,600.0,71428.57142857143,7.0,0.4666666666666667,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,20000000.0
5.0,4.0,240.0,122.0,62500.0,9.0,1.9672131147540983,14.181762381735995,14.830484845541491,18.972844042566877,27.746779809620325,6.007473945899978,26.156800001971398,15000000.0
1.0,1.0,33.0,70.0,70939.39393939394,2.0,0.4714285714285714,94.44173375552552,96.90594600235075,96.61724500951362,91.54950602908558,103.07172884957505,101.53687243384027,2341000.0
3.0,4.0,278.0,252.0,136179.85611510792,7.0,1.1031746031746033,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,37858000.0
3.0,2.0,66.0,88.0,80318.18181818182,5.0,0.75,167.91959379949282,169.0047655885209,165.68131185415862,155.6946698097665,182.92720146822288,163.92861498144865,5301000.0
3.0,2.0,60.75,69.0,47736.62551440329,5.0,0.8804347826086957,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,2900000.0
5.0,3.0,166.0,154.0,69734.93975903615,8.0,1.077922077922078,167.55978854307452,168.64744816827104,165.3267831483136,155.34176450131085,182.56462796216425,163.58344485344415,11576000.0
2.0,2.0,48.26,50.0,84179.44467467883,4.0,0.9652,71.28855294650579,70.6661732279024,74.48571177715807,84.50139987863103,56.03178446247359,78.6499895557615,4062500.0
3.0,2.0,66.0,146.0,103181.81818181818,5.0,0.4520547945205479,94.44173375552552,96.90594600235075,96.61724500951362,91.54950602908558,103.07172884957505,101.53687243384027,6810000.0
3.0,1.0,54.0,50.0,37854.166666666664,4.0,1.08,51.90090735159965,52.160490868054666,56.323619299540724,65.52691754425616,37.67456016305249,62.519622337010034,2044125.0
4.0,3.0,258.0,180.0,58139.53488372093,7.0,1.4333333333333333,18.497061574906787,16.392428587355916,13.51126242775846,15.770635888807977,27.592379975459544,6.009953890031844,15000000.0
3.0,3.0,183.0,110.0,106557.37704918033,6.0,1.6636363636363636,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,19500000.0
5.0,3.0,142.0,143.0,72915.49295774648,8.0,0.993006993006993,101.71210787625888,102.22761467423678,98.42107279468547,88.38925006861031,116.95980849516016,95.0484802296521,10354000.0
3.0,3.0,113.0,295.0,169026.54867256636,6.0,0.38305084745762713,17.785466020833965,16.17627559398306,12.4680716037235,11.71201323131373,29.263755852240788,4.565600048886762,19100000.0
4.0,4.0,225.0,118.0,62222.22222222222,8.0,1.9067796610169492,7.861155194161643,7.681682739120277,11.841258741934203,21.353611815379516,7.401641472488433,18.621550890842872,14000000.0
2.0,1.0,69.0,35.0,72463.76811594203,3.0,1.9714285714285715,12.182805383286809,12.885434325692575,9.651421061345797,2.851474322515815,27.43301030172834,12.019926751110285,5000000.0
3.0,2.0,112.5,72.0,38555.306666666664,5.0,1.5625,1.7770232569930737,2.6733197041621697,6.474000514712566,15.350095002157254,13.488925776389165,14.245311616024498,4337472.0
4.0,4.0,350.0,289.0,74285.71428571429,8.0,1.2110726643598615,12.060232748784554,11.91015955549519,16.048950455599712,25.603907794568748,3.3455769988251096,22.502261479277042,26000000.0
4.0,3.0,240.0,212.0,33333.333333333336,7.0,1.1320754716981132,456.34116046748323,455.08954169904723,458.2753590630969,468.20590354600984,441.66344815620295,459.9510940735707,8000000.0
4.0,3.0,187.0,132.0,48930.48128342246,7.0,1.4166666666666667,26.487754468823635,26.66583644223127,30.827380981160065,40.134426157673836,12.355917224479322,37.17548367462928,9150000.0
3.0,2.0,66.0,110.0,95242.42424242424,5.0,0.6,167.91959379949282,169.0047655885209,165.68131185415862,155.6946698097665,182.92720146822288,163.92861498144865,6286000.0
